S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350041,583,14577,29155,6122,11224,2478,10641,30321,1458,2915,0,437,437,2915,2187,28571,292
5350042,2806,17059,36364,7744,12121,3479,13805,37149,1796,2806,0,561,786,2020,2020,10325,561
5350043,1053,20000,38816,9474,10658,4079,11711,30921,2763,3947,0,0,921,2632,1579,14737,921
5350044,2381,18036,38333,9464,12262,2381,13571,25774,3155,3690,1310,952,1548,3095,3869,15060,714
5350045,2644,15086,29393,6998,10420,2333,13841,38258,1244,5754,1400,622,311,933,2488,17574,0
5350046,3919,17126,29173,5080,8853,1887,9289,33382,3338,3338,435,581,2032,1887,2177,18433,290
5350047.02,2429,14710,26046,8367,6208,1619,12416,13495,7018,6478,3104,540,2024,1484,9582,22267,0
5350047.03,4375,19375,48125,11250,13750,3750,12500,21875,3750,2500,0,0,0,1875,10625,5625,0
5350047.04,1733,22704,47487,9185,16984,4159,18371,24090,2253,2600,0,347,1040,2080,3640,12478,1213
5350048,1724,21264,48563,11351,14224,3448,26006,15517,3879,3161,431,1006,575,2155,3448,6609,862
5350049,3560,21197,58414,12945,21359,3722,26699,14563,2104,2589,0,1133,971,1942,2589,5502,0
5350050.01,1482,13968,39282,6385,12144,3136,23831,22292,2452,3820,570,684,513,2223,4960,9578,456
5350050.03,957,15789,42105,4306,11005,957,21053,18182,1914,4306,0,0,957,4785,7656,8612,0
5350050.04,1104,19980,41365,8233,13353,3012,25502,17169,4920,3313,1104,301,2610,3313,4217,9839,0
5350051,2653,20494,53797,13175,17932,3385,26167,15279,2928,3019,183,457,366,2379,1921,7411,640
5350052,2375,22000,52000,10000,15875,4375,27625,14625,2375,1500,500,375,375,2000,3375,9500,875
5350053,1537,16909,29206,7003,10589,2562,14005,34244,4270,5636,1110,1025,939,2391,5722,12126,342
5350054,2477,15030,31853,9052,10675,1964,15286,26473,4270,5465,512,1025,1281,2904,7088,15201,171
5350055,2677,18929,47419,9369,16635,5927,16252,22945,4207,5736,574,0,574,1912,4971,8604,956
5350056,1961,19608,36017,10010,10939,3096,13622,32611,1651,3922,0,413,826,2580,2683,14241,619
5350057,4036,21076,40359,7399,18161,4709,16592,22422,4036,2466,0,0,673,2018,3587,10762,673
5350058,2577,18773,41718,8466,14356,3067,18037,22945,1350,3558,0,736,1595,1840,2822,16319,0
5350059,2983,16484,38148,10518,12873,2826,15071,20722,1413,3140,314,942,1099,3140,4396,16954,471
