S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350213.02,1379,9483,17759,3276,7155,259,13362,22328,3448,6379,776,1379,517,5603,11983,22155,0
5350214,978,13601,26027,5969,9883,1566,18787,34344,2740,3229,196,294,783,1174,4501,15166,0
5350215,1585,16453,26566,5208,9736,1660,21358,28528,2264,3925,151,151,151,2792,6415,12830,151
5350216,1379,20129,47335,7445,11673,3033,22702,22978,2665,735,276,1011,184,1654,3033,7996,827
5350217,1757,13972,20738,5975,6151,967,38137,19596,4569,4042,527,703,967,4218,3603,5712,0
5350218,569,22581,50285,8729,13852,2657,24668,21632,1898,1898,569,0,949,759,1898,5693,759
5350219,1333,16000,34667,6556,12444,1111,28111,26444,1111,2000,333,889,0,3333,3667,10444,222
5350220,824,14134,30153,4005,9069,1531,28033,31095,2356,3887,0,0,471,2120,3062,6596,236
5350221.01,806,16358,40612,6527,10556,1450,21676,27558,2176,1370,0,0,242,2256,2015,7655,161
5350221.02,1545,12564,17714,4119,5355,515,18023,22451,5149,3296,927,412,721,7209,11226,18229,206
5350222.01,896,10075,20299,3507,8433,1119,21866,25373,3881,4179,1866,597,2463,6269,5149,15672,0
5350222.02,1018,10998,17312,3157,3870,611,18126,28411,4175,3462,5499,713,3360,5804,9369,9674,204
5350223.01,662,12914,28146,7616,10596,1987,24503,30464,662,3974,0,993,662,993,3974,11589,0
5350223.02,2837,17494,40898,5910,14894,1891,22931,31206,1655,3073,473,0,0,3546,4492,4965,1418
5350224,590,14159,34808,4720,11504,2360,18879,31563,2360,3540,0,0,885,2655,8260,6785,1475
5350225.01,904,11044,28112,5924,9237,1305,18675,21787,3012,3514,201,201,402,3012,6325,16365,0
5350225.02,900,9905,16684,3867,5032,900,17479,16314,5614,5456,1536,212,7998,4926,12765,15413,212
5350226,1155,22112,47195,10066,15347,3795,20627,22442,1320,660,0,495,0,1485,3465,7921,0
5350227,539,22102,54987,8086,14825,7008,22642,21024,1078,1887,0,0,0,1887,809,5391,0
5350228,1639,23770,49508,10492,15082,1967,19344,14590,328,2131,0,492,1475,3115,2951,8361,328
5350229,0,23077,54656,8502,18219,2429,18623,21457,1215,0,0,2024,0,0,5263,8907,0
5350230.01,427,16667,32265,6838,10684,1923,25427,29060,1068,3205,0,0,427,4274,1282,7692,427
5350230.02,938,8522,13917,3362,5629,1329,25723,34558,6255,9226,1564,156,3753,2971,1955,5708,156
5350231,1780,16873,39474,6424,12229,2554,20975,28638,1548,2477,0,542,697,1703,3793,8669,155
5350232,401,14820,39252,3738,11348,3204,18425,32977,1469,2003,0,534,0,3071,4940,7877,267
5350233,980,16667,31373,4635,9091,802,23351,28164,1248,2763,267,0,1783,2406,5169,11230,357
5350234,675,17323,25759,4837,6974,1912,20360,24072,5399,2587,787,0,3712,3375,4837,11924,0
5350235.01,2116,18166,30159,4586,9524,1058,18871,28924,2822,3704,0,0,0,1235,7937,10582,0
5350235.02,1593,12465,21931,4311,6748,937,20525,35239,2718,6279,187,1218,2343,1968,7591,9560,187
5350236.01,680,9524,20106,2570,5820,529,18670,24565,5291,4460,907,227,2343,6576,10204,10506,0
5350236.02,1524,14987,24132,4234,7282,1270,24979,26249,2286,2710,0,254,2625,4234,8383,11431,0
5350237.01,587,6314,10499,2423,2937,954,6608,15272,13877,5433,10720,661,7783,2863,18209,10646,220
5350237.02,0,11038,19440,3130,5107,0,11038,42175,2471,6425,0,329,659,2142,12685,9226,0
5350237.03,1253,12892,25336,4208,7878,1432,11907,21934,6177,8415,1522,269,1432,3044,10743,8415,0
5350238.01,585,11842,27193,3509,9795,2047,17690,47807,585,2047,0,439,731,585,3801,6725,292
5350238.02,851,7852,14759,2933,4352,568,11069,29518,9555,5487,1514,189,3122,7474,13813,7474,189
5350239,1089,11042,17729,2799,4588,1011,12053,25583,9953,6532,5054,156,7776,6065,7309,7232,311
5350240.01,0,9132,17656,2435,5479,457,19635,57230,913,1370,0,1065,304,1826,3044,6240,0
5350240.02,610,8798,18206,3310,6707,958,24739,38850,4181,7056,784,261,2526,2875,2787,4094,348
5350241,896,9140,18638,1434,6093,1075,15771,50000,3226,3584,358,358,0,1254,5556,6989,0
5350242,949,10443,12025,2215,3165,633,7911,23101,12342,6013,7278,0,23734,3797,6329,3481,0
5350243.01,152,5175,6012,1674,1446,228,3196,8447,3425,2435,685,761,35464,3272,29452,6240,152
5350243.02,541,9595,11081,1486,4459,270,5946,24054,11081,8919,1757,1081,4865,4324,14459,12027,0
5350244.01,614,13421,14912,3684,4035,614,4474,19649,11754,10789,2368,175,13333,3860,11140,12105,0
5350244.02,1335,10948,9613,3071,2937,534,7076,13351,16155,10280,9346,267,11081,5874,6275,13084,0
5350245,1023,12053,17385,2776,6282,1242,6209,22498,13514,7743,2557,950,2703,5844,14025,8985,146
5350246,996,13798,23613,3983,5974,711,8535,24751,5690,8535,569,0,1138,2134,13656,12233,0
5350247.01,174,5968,4287,811,1101,174,2839,4809,11703,6489,3187,463,4983,3476,55446,5736,116
5350247.02,837,9560,14515,3280,4117,419,5234,22959,9351,6699,2024,698,1117,4396,29588,7955,0
5350248.02,1251,7596,6702,1072,2770,179,2592,4826,12869,6256,8937,715,18231,5451,19392,11260,0
5350248.03,0,6154,7692,1154,3077,577,1154,8077,22115,12885,3654,769,3077,1731,36538,11923,385
5350248.04,318,8271,4772,1166,1485,212,1485,3924,15483,2439,9014,318,2757,1803,46766,9438,0
5350248.05,734,6365,5875,1224,1714,367,2326,13097,10649,8446,1714,0,2570,2081,42472,17381,0
5350249.01,221,6645,3433,886,1218,0,1993,13178,12957,7309,3876,0,886,886,49169,8749,0
5350249.03,615,7733,5448,1406,1494,176,967,7557,17047,7118,3954,527,3779,2197,43585,8172,0
5350249.04,1149,6178,6178,287,1580,0,1293,13075,9052,6753,4023,287,2443,5603,50431,3017,287
5350249.05,0,5249,1289,368,368,0,921,1565,7182,2302,1565,276,3867,28821,47330,3591,0
5350250.01,784,7647,8235,1667,3235,392,4412,12353,6275,7255,1471,392,2647,11863,37647,6275,0
5350250.02,498,9761,12649,2988,4980,299,5677,24303,10657,8466,7769,398,2390,7271,16932,7769,0
5350250.04,877,7735,4386,718,718,159,1356,4785,25359,6140,12520,0,1037,4705,33254,4705,0
5350250.05,133,7432,4048,464,464,0,1194,3849,9754,4114,6038,133,2256,40345,22296,3981,0
5350260.01,606,6818,5833,1818,2197,152,3636,9318,1742,985,303,758,2045,9470,46591,22955,227
5350260.04,359,5150,4551,479,2156,240,5269,4910,3713,3713,2156,2036,6707,23593,28743,14611,240
5350260.05,620,6444,6320,1487,1487,0,15985,3841,5328,2602,3594,1611,9046,21190,22800,10037,0
5350260.06,303,5311,4249,1062,1062,303,4401,5008,7587,3794,3187,1669,7739,11836,27314,30046,0
5350260.07,262,6430,9711,2100,3412,525,6299,16010,3806,2493,0,656,2756,11942,35827,16535,0
5350261,3378,9073,14672,2606,3282,290,4247,9942,7143,3861,1448,869,6660,9363,33687,13610,0
5350262.01,1711,14200,20445,4534,5475,1198,5389,18221,11377,4790,2310,171,2395,6758,14371,15227,0
5350262.02,1300,10642,20877,4549,5605,894,6336,19090,5605,2924,1219,975,1868,21608,7880,14785,0
5350263.02,1016,13933,28882,5806,8418,1597,15675,20174,1742,1161,0,1016,726,8128,6096,20029,0
5350263.03,1453,14190,21117,5363,6034,1788,9050,12849,4469,2458,0,1006,1341,6034,10950,28827,0
5350263.04,784,10196,23059,3451,6824,1098,14431,11529,5020,3529,1255,1725,2353,10588,17961,13098,0
5350264,766,15709,10345,4981,8046,1149,19923,11877,0,1149,0,2299,1149,11494,6513,26437,0
5350265,430,22151,48387,8280,13871,4409,11505,13871,860,2258,215,538,1075,7204,4301,16344,753
5350266,309,11747,30757,5873,9274,1700,18547,14374,2164,927,309,464,1546,9892,3864,21947,773
5350267,156,9119,14108,1793,5378,857,17303,8885,1013,857,0,701,0,8885,10678,40920,0
5350268,1114,14002,34129,5091,9785,1671,11695,15434,2705,2466,398,1830,477,8115,6523,23548,318
5350269.01,1697,10180,12275,1796,4092,200,5589,9980,10978,7784,2495,1796,5689,22355,14671,15269,200
5350269.02,1152,13244,27255,5758,11516,1152,17850,19578,3839,1919,0,1152,384,7678,5950,28791,384
5350270.01,1690,13221,22863,5865,6064,696,14513,14115,6064,3877,994,2187,1193,13917,7058,18191,199
5350270.02,2738,19167,31667,4167,10595,1667,14048,16786,9524,4286,1190,1071,1310,7024,4762,14048,357
5350271.01,980,17647,27647,8431,10392,1373,11176,13333,5882,980,0,1569,1961,4510,6667,22157,0
5350271.02,2028,16862,27641,4482,7577,1921,8858,10139,6297,5336,0,2134,640,13234,13020,15155,427
5350272.01,1688,10042,12152,3207,3038,338,9620,8861,11139,5063,2700,1857,2194,11477,12827,24219,0
5350272.02,1168,7749,16561,3715,6369,2229,9766,13163,5308,4034,0,4459,1380,10085,14862,25372,0
5350273.01,518,11399,16451,2850,5311,1425,19041,12047,3497,907,648,1036,2073,10622,8420,27720,0
5350273.02,0,10885,14593,3110,3469,478,15191,9211,1316,1316,0,1077,2153,12440,6699,37919,0
5350274.01,1350,8100,19211,4465,7580,1142,17757,9553,4154,4777,1973,831,312,13084,7269,27518,519
5350274.02,415,10696,21599,3531,6854,1454,19107,10800,1558,3738,519,1142,208,11319,5192,30010,0
5350275,1101,20406,42337,4742,11346,2032,17358,19136,1101,3472,169,508,762,4064,1524,12955,508
5350276.01,399,18051,19010,2396,9026,1118,35304,14696,2716,2316,0,1518,1038,6869,2875,12460,160
5350276.02,149,23810,19345,3571,10268,595,35789,8482,893,1563,0,1116,1563,7068,2827,17932,149
5350277,0,23787,15266,2367,14911,592,43432,5680,828,1538,0,1657,1420,6864,1775,12899,0
5350278,272,20054,8498,1292,10197,612,44120,13732,2447,2991,0,1903,1428,5574,1088,11965,0
5350279.01,370,7398,8508,1110,2959,863,9371,54131,4562,7028,0,1110,0,1233,2713,18989,247
5350279.02,1033,5594,6885,2496,2582,0,4045,38210,7057,7401,1463,430,775,1721,9380,23838,0
5350280,960,8436,9671,2812,4047,549,5213,32785,13169,14952,1920,343,1715,3224,8642,11934,206
5350281.01,463,7645,5328,1236,2085,0,1931,22394,14131,6641,4942,0,7027,1081,7104,29344,0
5350281.02,888,11294,11421,3299,2919,254,3807,17893,29695,12817,5076,508,7107,1142,3934,9391,254
5350282,1257,10400,17257,4571,3314,343,5029,51543,6400,5257,457,0,1486,2514,5143,8800,0
5350283.01,394,7579,5807,1870,689,197,1969,29429,18996,11024,4528,394,9843,2264,6988,10236,0
5350283.02,749,7701,8128,2032,2995,0,2139,40642,12406,4813,4813,0,17219,1925,3957,7273,0
5350284,227,6732,5673,1210,2496,227,2572,45461,5598,8245,454,0,681,1815,13389,18457,151
5350285,0,4615,7385,2615,2308,308,2000,53385,9692,5692,0,0,2000,1385,4308,15538,0
5350286,722,9988,7822,2286,2407,241,3610,41757,8183,7461,2647,241,6017,3851,7581,17329,0
5350287.02,709,10717,7565,2443,3546,709,18597,13633,5831,3073,1024,158,1182,5674,2522,41056,158
5350287.03,596,13264,10581,2832,3130,0,10879,11028,15201,8048,4173,298,18629,8048,2235,13413,0
5350287.04,518,12332,15130,1347,11813,1347,36269,12746,5285,3212,725,1762,1658,4041,3212,23005,0
5350288,957,12387,10121,2467,6798,1360,22306,16415,3273,3474,957,2064,1460,4683,3122,34038,352
5350289,897,8184,7848,1570,1570,785,4596,50561,3812,6390,1570,0,785,4260,2242,20628,0
5350290.01,2397,7457,8522,1997,2130,533,5992,24101,17443,8655,1065,0,1864,2663,10253,26232,0
5350290.02,583,8455,9038,4373,4665,583,5831,35860,7580,12828,2041,0,1166,2915,5539,28571,0
5350291.02,939,6576,7203,2192,2296,418,2505,39770,10438,8142,1879,209,2192,4802,3236,18058,0
5350291.03,1728,8639,10799,3456,1512,1080,3888,42765,7127,7775,648,864,648,7127,2376,20518,0
5350291.04,926,7099,9259,1852,1852,0,2469,34259,9877,12654,0,926,0,7407,4012,26235,0
5350292,970,5970,6642,2313,2090,224,1866,22836,15000,15224,3731,299,2313,1791,5149,29478,0
5350293,789,10024,7893,1421,2605,395,5525,32991,9077,9945,3236,0,1342,2447,8524,19653,158
5350294.01,999,9989,6992,1665,1776,666,3996,31853,14983,19645,4218,555,2553,7658,3219,6215,0
5350294.02,337,6067,5056,899,1236,225,1910,32360,10674,14944,2022,0,2247,562,6180,28427,225
5350295,890,7319,8309,1682,2671,297,6627,28981,7319,8803,692,198,0,4055,6726,35905,0
5350296,0,0,20000,0,0,0,13333,73333,0,0,0,0,0,0,0,0,0
5350297.01,489,7687,6709,1398,4123,280,27044,21244,2935,4053,629,2096,769,9713,4752,24179,0
5350297.02,308,14704,9238,1232,4696,616,30947,22864,2079,1925,154,2925,1925,8776,2848,18014,308
5350298,316,21053,9158,3684,7158,421,39895,9579,2526,1789,316,2632,2211,7684,1895,16947,211
5350299.01,1152,10947,30535,4856,11358,1893,21070,13498,2469,2634,0,247,576,9218,6337,20082,494
5350299.02,286,6966,10210,2672,3817,859,12595,8588,1622,2863,286,1527,954,15458,12595,37500,191
5350300,329,7357,13287,3148,5381,732,9846,9846,2013,4026,439,1318,732,19217,8309,37372,183
5350301.01,1525,9492,22203,5763,7966,1017,11525,14746,4237,2373,678,678,678,10508,7627,32881,0
5350301.03,518,3849,6958,1702,2147,518,5107,6070,3479,4293,740,2961,814,14360,27239,31754,148
5350301.04,833,5833,6500,1167,2167,167,4167,5833,4083,3500,750,2917,1333,19833,20500,34250,167
5350302.01,720,8720,14560,3120,4640,480,6800,21760,2480,3360,160,2160,560,8560,6400,38080,320
5350302.02,244,6174,7311,1381,3168,325,3574,19415,4955,1137,1625,894,731,9098,7717,47035,162
5350302.03,736,5155,5302,1473,1325,0,2356,18704,3240,884,0,736,0,5449,13402,49337,0
5350303,190,5403,6540,1991,3033,664,6256,7299,4171,2559,474,569,1137,20569,10142,43697,190
5350304.01,757,8649,8865,1405,4324,324,12973,6811,6054,4000,1838,1297,1297,24108,10486,25189,0
5350304.02,561,7175,17937,3251,6054,1121,10987,10202,1794,2242,224,673,897,12332,5605,41480,0
5350304.03,342,6325,15385,2051,5128,1026,9915,7009,5470,3590,3419,342,2222,6496,7692,45983,0
5350304.04,665,5718,7181,1729,2793,266,8378,13298,4255,3457,399,2527,399,20479,15027,31383,0
5350304.05,0,2577,7045,1031,2062,687,10137,6186,1203,2234,859,1375,2062,9107,13574,50000,0
5350304.06,172,4828,9138,1121,2155,345,8879,7328,3966,1810,172,1724,1293,11638,12328,46638,0
5350305.01,345,7020,14614,1611,4718,1036,15650,7710,0,575,230,806,345,16341,5754,41082,230
5350305.03,706,8165,16230,4133,4435,504,14617,8871,2823,3427,605,1613,202,16431,4738,37802,706
5350305.04,561,6232,10724,2471,3930,618,8029,7075,3032,3200,393,674,449,20270,7861,44526,0
5350306.01,534,6838,12927,2350,3526,1389,4701,7479,4274,1496,1496,0,3098,13889,4487,51068,0
5350306.02,321,5889,7281,1713,4176,642,8779,5996,1820,2248,535,1927,857,14561,7066,55032,0
5350307.03,196,2449,5289,881,1861,294,5387,3232,588,979,196,0,196,20470,7248,58962,196
5350307.04,790,4095,8046,1437,3089,790,11422,6034,1221,1796,144,1365,216,14224,11351,45977,0
5350307.05,423,1972,5211,1268,1831,282,7465,5775,1690,1127,0,986,282,13380,4648,64789,282
5350307.06,282,1784,4507,563,1690,376,4883,3568,563,845,0,1784,751,25446,3756,57183,0
5350307.07,397,5159,11667,1508,3730,1032,8651,6111,1508,1667,159,3492,397,15635,4127,50714,159
5350308.02,1278,12892,23229,4413,8711,813,22648,19280,1394,2555,0,1045,465,11614,5459,17538,0
5350308.03,0,11872,27854,5023,7306,1826,16895,10502,2283,0,0,0,0,7306,7306,31963,0
5350308.04,444,5723,10870,1908,3594,665,11047,7453,1154,2041,177,710,532,17791,5501,46273,0
5350309,320,5835,5116,2078,3277,160,23901,6235,5596,3038,560,799,1039,8233,3997,41966,0
5350310.01,589,15317,13549,3682,5744,589,41090,19146,1031,3682,295,2946,1620,7806,1178,11635,0
5350310.02,696,11133,10239,1193,2684,298,22068,24254,3877,5070,497,795,398,9940,3678,21372,0
5350311.02,1471,8131,10554,2336,3374,865,5017,22924,10986,9689,1817,346,1644,7699,12284,23529,173
5350311.03,372,6691,8178,2230,1301,372,3532,41264,6320,5948,1673,0,2230,5948,10595,16914,0
5350311.04,687,7176,6031,1069,1603,305,3893,23130,14962,7176,1069,153,1450,5725,8321,31298,153
5350311.05,605,5749,7262,1286,3480,832,4463,11195,12935,8169,7867,303,1210,8472,30030,14221,0
5350311.06,673,9167,8158,2775,2860,673,7233,9588,11859,5467,6981,673,4037,6812,15643,25063,0
5350312.02,929,7276,4180,464,1238,0,2477,8359,20124,7895,1393,0,774,3406,14396,36223,0
5350312.03,1123,7779,6496,2646,1283,160,1764,24619,17482,17322,3528,241,1684,4491,6736,18204,0
5350312.04,264,5629,5541,704,176,0,792,11961,15040,12577,6157,176,1319,2375,12049,31574,0
5350312.05,371,6312,6064,1361,2228,0,743,4827,24134,14728,15842,619,7054,1980,13243,16460,248
5350312.06,286,6581,4864,3004,1431,0,2718,24177,12303,13734,4864,0,3147,10873,2575,22318,0
5350312.07,0,4397,4560,1140,814,0,3420,41694,11075,7655,2606,0,2606,2769,4235,23127,0
5350313,901,12342,9459,2252,2162,450,3694,26937,12793,18559,2613,0,1351,2252,7027,16396,0
5350314.01,297,6337,4257,693,792,0,1881,6832,16040,12079,6733,693,4257,5842,27129,15347,198
5350314.02,507,6389,2738,1420,1420,0,1521,15213,11055,7708,3448,203,4057,2333,31643,17748,0
5350315.01,0,6163,4931,2773,2311,308,2619,46687,7396,10632,1387,0,0,5239,15254,7858,0
5350315.02,287,8739,4871,1003,1433,430,2006,18911,9026,3868,1719,0,1719,10888,38109,7307,0
5350315.03,176,8634,6432,441,1410,176,2467,24229,13480,9251,3436,0,1850,2379,29868,9427,0
5350316.01,667,5200,5733,1733,2000,267,1867,32800,9600,10133,0,0,400,2533,10400,27600,0
5350316.03,835,9850,5760,1753,1252,0,3255,4841,17362,10434,7346,584,2671,22371,7513,14441,0
5350316.04,1082,8894,5288,1082,962,0,2524,5889,19231,9255,9135,0,4567,7332,10938,22596,0
5350316.05,623,6600,5729,2117,1619,623,2864,7223,16812,12578,9340,498,2989,4857,17061,20548,0
5350316.06,2058,11523,6859,960,1783,0,4938,6584,15638,5624,10974,549,7133,3018,9328,30041,0
5350317.02,203,6554,5135,878,3919,338,41959,7568,946,946,135,1351,135,12838,1419,26081,135
5350317.03,276,11188,6077,552,3867,276,43094,6630,2348,2486,276,2486,1105,11050,4144,20580,0
5350317.04,836,4559,6459,1292,2964,152,35562,6611,3571,3343,1064,1520,988,13146,2508,27432,0
5350317.05,440,5714,5714,659,1319,0,27692,7473,2857,1978,0,659,440,7033,6374,40879,0
5350318,351,6374,8246,1111,3567,292,11637,9474,2398,2105,468,292,351,13684,6140,48304,175
5350319,247,5315,10136,2596,4574,371,12855,18294,2101,1236,0,989,247,18541,2967,34858,0
5350320.01,0,4748,5836,593,2868,396,37784,7418,1780,2374,396,989,198,16222,2077,27201,0
5350320.02,501,4511,6934,1420,1838,251,17878,9942,1838,2673,334,752,167,9023,6182,47118,0
5350321.01,259,7772,12694,1166,4404,777,7124,10751,1425,777,0,0,259,24093,2073,41321,0
5350321.02,0,7188,12484,1765,4035,378,7188,11602,378,757,252,252,0,25725,4540,38335,0
5350322.01,213,2662,5644,745,1171,532,5751,3834,1917,1384,426,213,213,13419,7987,63046,0
5350322.02,997,4817,11462,3654,2658,1329,8638,9967,0,1329,0,1163,1329,16279,5316,47841,0
5350323.01,1505,7639,17708,4167,5903,1273,14120,9838,2315,2778,231,1389,579,19097,5556,32176,347
5350323.02,650,7259,12026,1625,4659,758,15060,4659,2817,325,217,0,0,10509,5200,49621,0
5350324.01,403,6855,8602,2151,2554,269,7392,6317,7527,4435,672,1344,2151,5780,8737,53629,0
5350324.02,241,6034,8608,1207,3862,644,7160,4827,2896,1609,805,161,1931,6758,7401,57603,322
5350324.03,376,4015,7403,1631,4015,251,18570,7026,2008,1631,251,753,0,8407,9536,46801,0
5350324.05,0,6250,7470,1067,2896,305,8689,4878,2134,1372,0,1067,0,6402,5488,64482,0
5350324.06,0,5394,6560,2478,3207,0,8746,5831,3061,3207,0,1166,583,6706,14577,54082,437
5350330,1451,18622,51270,9069,15115,2177,11125,15115,4353,1088,605,0,726,2539,6046,10520,242
5350331.01,1449,20562,42301,6522,10598,1902,10236,13406,7699,4529,272,272,543,2174,13043,12500,272
5350331.03,1552,10376,7271,1797,1634,735,2042,5392,15196,3105,1879,735,1634,9069,44853,5801,0
5350331.04,2427,11489,28317,4045,8576,1133,5987,13592,11812,4693,647,324,5016,3398,19903,16990,0
5350332,2216,12950,15928,3878,3393,970,4086,9488,13712,4571,1870,485,4086,3393,30125,11565,0
5350333,2869,18916,40595,6376,8608,1382,7014,17109,6908,3188,531,425,1063,2550,17428,12434,319
5350334,3057,23290,54003,11063,15575,2183,15721,13246,2038,1601,582,291,873,1019,6405,7424,437
5350335,2286,19399,27368,3723,5879,784,5683,11822,7185,3984,196,327,914,3070,25539,15023,131
5350336,2204,20593,33815,6535,7371,1140,6003,15046,2812,2432,228,380,988,836,16109,18921,0
5350337.01,4730,33784,37838,11486,6081,1351,7432,10811,5405,0,1351,0,0,0,10811,16892,0
5350337.02,2688,30645,50806,8871,13710,4032,11290,10484,5914,2688,538,0,0,2151,3495,8602,0
5350338,2918,24635,55193,9442,14249,2833,11159,13305,5408,1545,172,515,1459,1373,3348,10644,429
5350339,3366,26253,62977,9349,15931,3291,12117,13687,2842,2094,0,0,598,2094,1945,9499,1047
5350340,1112,16383,19644,4151,4522,1112,6449,12231,6449,2669,222,371,5263,3262,25426,17569,371
5350341.02,3537,14512,20976,6341,6098,1463,4268,12561,5854,3415,244,854,1829,3902,26707,18293,366
5350341.03,849,11174,7638,1839,424,283,1839,3395,5233,1839,2829,1839,16266,12730,41584,2829,283
5350341.04,1926,11223,12228,2261,2345,251,2848,5779,8375,2764,2429,419,7119,4690,36600,13484,0
5350342,1695,12949,12136,3458,2644,203,4136,8881,7119,2441,407,746,4949,2169,27729,27661,136
5350343,3210,18787,23900,4162,3092,1665,5707,13317,5232,2021,2140,0,3210,2378,22949,17004,238
5350344.01,2505,13080,17625,2690,4082,464,1577,11224,8442,4545,835,186,3340,3711,27644,22171,0
5350344.02,2222,13175,14921,2698,3333,317,2381,10794,12222,3016,1746,476,10000,4286,17937,22857,0
5350345,1565,12256,15645,4172,2738,1173,2738,17080,5606,1956,913,652,1304,3520,21121,29857,0
5350346.01,2119,11229,12394,3814,4661,530,5191,8369,7627,3602,1377,1165,4343,3390,31674,26165,0
5350346.02,2136,10399,9564,2507,2043,0,3343,5757,11885,3157,743,929,4271,3250,27019,31105,0
5350347,1536,12284,15547,2111,2687,384,3455,11708,6526,2303,1344,384,1344,768,24184,33973,0
5350348,1304,19274,24860,3911,5866,2048,7356,21508,3631,3166,372,652,372,2142,13128,23091,0
5350349,1215,13542,15972,3906,4601,521,4861,13889,10243,5556,1302,608,1823,7292,12413,26649,0
5350350,1318,14218,19209,2542,3955,659,6026,21657,4896,2166,565,659,2354,10923,19492,14595,377
5350351.01,1070,10348,15700,2319,3033,624,2498,14005,5620,3836,624,714,3747,3657,33988,16682,0
5350351.02,954,9351,15458,3817,3817,0,6107,12977,6870,4771,382,763,1145,4580,18511,31489,382
5350352,1157,11765,12150,1639,2218,482,2893,11668,5882,2218,289,482,1157,5111,33751,23240,0
5350353.02,1608,12488,16272,3974,2554,473,3974,13529,5014,2744,0,2365,2649,4636,31883,19395,284
5350353.03,988,7578,8731,2142,1483,0,1153,10379,8072,2471,0,494,988,3130,37232,28666,329
5350353.04,1925,10872,9626,1472,2152,0,3284,9740,8947,3171,1359,453,3737,2718,37939,18007,227
5350354,1344,8829,17946,2495,3455,0,3935,14012,9309,6046,192,0,1440,5086,27927,21689,0
5350355.02,1057,12392,13256,1729,3170,288,4035,9126,14697,4611,2305,1441,1249,3650,25744,19597,576
5350355.04,1608,13769,10854,2312,1608,302,3116,10854,10955,5528,2010,0,4623,3719,25126,24925,0
5350355.05,1325,15066,16556,3477,1821,0,2318,5132,16225,5132,2649,993,6788,8113,20695,12417,331
5350355.06,2181,12773,7477,1558,5919,0,0,5607,27103,3738,3738,0,6854,3738,26168,11838,0
5350356,1848,16413,23152,3696,5217,1739,5435,13043,7826,2826,0,435,1196,3696,27391,17391,0
5350357.01,1170,9868,9649,1754,1827,292,3874,6798,6433,3874,439,146,439,3655,54751,9284,146
5350357.02,2975,14299,14875,2879,2783,288,2879,7869,20058,4319,2399,960,3167,6142,32534,4990,192
5350358.01,7249,16420,25888,4882,6361,1036,6953,13609,12130,6657,296,296,1036,1775,19970,13018,296
5350358.02,1468,16562,19916,2516,4507,419,4193,11216,21488,7757,4193,734,2306,4403,15828,11845,0
5350358.03,3324,14312,16436,4155,3878,554,3878,9695,17267,5725,4340,554,5817,2401,19114,16805,0
5350359,2296,12694,17758,3916,5672,203,6550,9791,18366,5402,2431,810,2296,5807,22552,14112,0
5350360,1504,16541,27151,3175,8187,1170,7018,14787,10777,5597,1754,334,3091,2256,21470,14453,0
5350361.01,1468,20035,36356,5268,9758,1641,7858,20121,7945,2936,604,259,864,3713,15717,9067,259
5350361.02,2185,16887,30927,5232,8543,993,8212,13576,6755,2583,0,397,1589,2583,21391,18146,0
5350362.01,566,10032,13916,2427,4854,647,3074,10194,22249,4288,1861,809,2023,4773,25566,18042,0
5350362.02,801,9617,12110,1425,2850,356,4007,14426,10329,5521,0,445,890,2671,40249,14248,0
5350362.03,438,9343,14453,2336,2920,657,3212,11898,14015,4818,657,584,949,2774,35401,20438,146
5350362.04,1324,13951,17312,2648,4990,407,2444,6721,23931,4379,509,0,916,4684,30143,13849,204
5350363.02,1730,18868,24686,3931,6447,629,5189,12893,13208,2987,1101,314,786,2044,18082,24214,314
5350363.04,793,10700,13078,3038,4359,528,2642,7398,10700,2378,1849,264,2114,1321,35403,25627,264
5350363.05,335,11173,8045,2458,1117,335,1788,3017,19553,3911,3240,670,3464,6034,36536,15754,223
5350363.06,344,5433,6671,1238,2407,275,2682,6671,6946,3095,344,206,1169,5296,26891,44360,0
5350363.07,760,5418,7985,1426,1426,570,3042,2852,7605,2186,1996,0,1331,7129,61312,5513,0
5350364.01,1839,14886,18564,2802,3415,701,6130,10858,10158,5342,1489,613,1401,4378,31874,15849,350
5350364.02,678,13051,19492,3559,4237,847,4576,6271,10000,3559,1017,2712,1017,4915,23898,25085,0
5350365,154,10425,12896,2394,2239,386,3320,10656,6718,4093,154,386,695,3629,46255,14054,541
5350366,2112,12510,16166,2193,2193,731,1868,9504,9992,3493,812,569,2356,5361,33306,18359,162
5350367.01,537,5800,6552,1182,2685,215,1074,6337,6767,1504,644,0,4189,8485,61976,5263,322
5350367.02,972,11944,20833,4167,5972,556,3194,17222,7083,3611,1111,0,694,1389,27500,20278,0
5350368.01,219,4535,6291,1024,1756,293,2341,5779,5121,2487,512,366,658,3438,17996,59620,0
5350368.02,792,10686,17546,2639,4354,923,6332,14380,4485,2243,923,0,0,1979,27441,25594,0
5350369,1255,13551,18883,3576,3513,690,2133,9348,5144,3827,251,816,2133,8908,35320,14366,125
5350370.01,1181,8932,6211,1899,1951,308,2515,6930,9086,3439,719,2002,1078,10062,33214,27875,0
5350370.02,1113,10390,8627,2319,1577,278,1577,10390,6215,2505,649,1113,1299,5566,30891,32282,0
