S_CTUID,58,59,60,63,64,65,81,83,87,88,89,90,1617,1618,1619,1620,1667,1668,1669
5350136.02,1.6,4680,1865,2810,2030,145,895,260,205,150,45,5,3210,720,2485,0,3205,1790,1415
5350403.14,3.5,7975,5170,2805,2035,125,2500,1845,365,205,115,45,2850,2535,315,0,2845,1725,1115
5350400.19,3.2,7730,4930,2800,1805,180,2365,1680,430,225,160,45,3035,2640,390,0,3030,2135,895
5350420.05,2.6,6895,4095,2800,1980,135,1960,1055,380,235,100,40,2975,2105,870,0,2965,1585,1385
5350200.01,1.8,5025,2220,2800,1665,210,1065,385,400,275,100,25,3060,1005,2050,0,3060,1655,1400
5350287.02,2.8,5395,2605,2795,1620,205,1130,730,465,280,120,65,2245,735,1505,0,2245,1370,875
5350342,3.1,6140,3350,2790,2000,155,1590,1120,485,280,150,55,2355,1465,880,0,2340,1510,835
5350311.04,2.9,5520,2725,2790,1930,190,1305,825,540,305,155,85,2250,1135,1110,0,2245,1515,725
5350230.02,2.4,5655,2875,2785,1565,240,1380,780,460,290,145,25,2620,1270,1355,0,2625,1690,935
5350358.03,2.5,4625,1845,2780,1870,250,875,580,485,250,140,95,2250,1010,1240,0,2250,1545,700
5350410.12,1.9,5940,3160,2775,1215,265,1510,530,410,285,110,15,3510,2335,1175,0,3500,1560,1935
5350403.11,3.6,8295,5530,2765,2070,105,2695,1990,370,200,125,45,2915,2765,150,0,2905,1780,1130
5350281.01,2.9,5260,2495,2765,1965,230,1175,810,645,375,190,80,2245,1100,1140,0,2240,1395,845
5350108,2.4,5100,2335,2760,1930,210,1125,645,425,240,120,55,2475,1230,1245,0,2475,1630,845
5350062.01,1.7,5095,2330,2760,2145,80,1120,360,145,115,30,5,3345,605,2740,0,3325,1335,1990
5350312.04,3.2,4530,1780,2745,1785,220,790,545,690,325,205,165,1710,635,1070,0,1710,1145,565
5350485.02,2.5,5870,3125,2745,1580,265,1540,815,455,275,130,50,2755,1880,870,0,2755,2025,725
5350576.32,3.8,7390,4645,2740,2115,160,2270,1720,385,195,115,65,2510,2385,130,0,2510,1865,645
5350550.02,2.6,6370,3630,2740,1775,185,1785,1005,385,270,95,25,2915,1890,1025,0,2905,2155,755
5350007.02,1.8,4275,1535,2740,2075,160,720,320,280,180,80,20,2495,90,2410,0,2495,1250,1240
5350413.02,3.7,9040,6310,2730,2025,185,3095,2440,375,160,140,75,3430,3215,220,0,3430,2210,1215
5350413.01,3.3,7610,4890,2725,1995,130,2385,1670,235,120,80,35,2815,2570,245,0,2795,1895,900
5350423.02,2.9,6625,3900,2725,1950,155,1915,1275,350,215,110,25,2650,2060,590,0,2650,1770,885
5350528.02,3.5,6490,3770,2720,2160,90,1820,1315,305,160,110,30,2185,1620,565,0,2185,1605,585
5350237.01,2.8,5375,2650,2720,1805,245,1275,815,575,290,165,115,2410,1005,1410,0,2410,1600,810
5350161,2.7,5830,3105,2720,1900,175,1500,940,445,310,105,25,2535,1620,915,0,2530,1785,745
5350240.02,2.2,5380,2655,2720,1295,170,1265,640,370,260,90,25,2590,1365,1225,0,2590,1605,990
5350122,1.8,5595,2880,2715,1805,125,1395,475,190,145,35,5,3450,1315,2135,0,3445,2260,1185
5350576.61,4.3,8195,5490,2710,2055,175,2650,2060,355,155,120,80,2555,2265,290,0,2555,1425,1130
5350403.01,3.5,6570,3865,2705,2135,105,1865,1310,340,185,120,40,2155,1850,300,0,2150,1460,690
5350278,2.9,5940,3240,2705,1805,125,1550,1025,290,180,75,40,2640,1250,1385,0,2635,1695,940
5350528.31,3.1,5340,2650,2695,1770,130,1220,795,310,150,110,45,1960,1055,905,0,1960,1075,880
5350572.01,2.6,5740,3045,2695,1780,210,1490,785,505,275,155,75,2635,1675,960,0,2635,1900,735
5350063.05,1.5,4220,1525,2695,2360,80,720,115,95,80,10,5,2990,730,2255,0,2965,1400,1565
5350284,2.8,5780,3090,2690,1720,180,1450,915,430,270,115,40,2345,1215,1135,0,2345,1710,635
5350311.02,2.7,4960,2265,2690,1765,220,1085,690,480,280,140,65,2135,960,1175,0,2135,1365,770
5350260.01,2.8,5695,3005,2685,1885,160,1435,975,315,205,75,35,2375,1870,510,0,2380,1400,980
5350316.03,3,4585,1905,2680,1885,245,890,650,650,340,170,140,1970,155,1815,0,1970,1145,825
5350272.01,2.6,4900,2220,2680,1830,185,1065,710,540,325,135,75,2330,315,2015,0,2325,1435,890
5350336,2.8,5800,3130,2670,1785,155,1510,910,380,255,95,25,2395,2020,375,0,2395,1730,665
5350563.01,2.7,5225,2555,2670,1575,260,1195,800,635,340,200,100,2505,1070,1435,0,2505,1340,1170
5350053,2.2,5330,2670,2665,2015,120,1300,580,245,170,55,20,2695,1430,1265,0,2685,1745,940
5350520.09,2.2,5945,3280,2665,1855,200,1575,850,315,215,70,25,3260,1925,1330,0,3255,1750,1510
5350576.72,3.6,7485,4825,2660,2005,170,2340,1690,290,155,90,55,2585,2110,475,0,2580,1640,935
5350516.09,2.7,5970,3305,2660,1845,165,1615,950,440,265,125,50,2555,2200,355,0,2555,1870,685
5350528.41,3.8,6380,3725,2655,2025,115,1770,1345,350,180,125,50,2035,1720,320,0,2035,1375,660
