S_CTUID,1871,1872,1930,1931,1932,1933,1937,1938,1939,1940,1941,1942
5350129,69.3,5.7,2875,975,85,1420,2875,320,930,1030,350,250
5350130,63.3,4.5,1440,885,40,365,1440,275,545,405,125,100
5350131,62.1,6.2,2400,1225,40,875,2400,305,1040,665,205,185
5350132,68.3,6.8,2660,1380,85,985,2660,390,855,935,315,165
5350133,63.7,8,3630,1530,100,1735,3630,350,900,1320,595,460
5350134,69.3,7.9,1405,745,95,430,1405,145,400,630,150,80
5350135,67.1,8,3060,995,70,1515,3060,375,835,1185,445,220
5350136.01,70.5,7.5,3640,1060,95,1965,3635,440,815,1310,615,450
5350136.02,66.3,6.6,2820,835,90,1505,2820,350,685,1140,345,295
5350137,63.4,7.7,3420,1470,120,1395,3415,345,960,1230,545,340
5350138,55.5,7.7,1205,630,50,375,1200,130,365,435,180,95
5350139.01,65.5,8.3,1945,840,70,845,1945,190,540,770,315,140
5350139.02,62.5,6.4,1120,655,50,290,1120,140,325,435,135,80
5350140,62,6.2,940,610,40,220,945,150,300,340,120,35
5350141.01,67.9,4.6,2035,885,55,960,2040,215,635,820,280,90
5350141.02,64.4,8.9,1980,1065,75,690,1980,215,625,700,375,70
5350142,65.6,5.7,2450,1115,65,1045,2450,265,690,1080,280,135
5350150,67.3,6.3,2000,945,55,820,2000,165,425,770,465,175
5350151,55.1,9.4,1465,665,80,580,1465,120,345,445,280,280
5350152,69.2,5.2,2195,1075,30,825,2195,190,405,810,550,240
5350153,59.3,9.2,2165,1070,130,780,2165,275,475,630,430,355
5350154,54.6,7.2,2815,1590,160,935,2815,235,760,685,535,595
5350155,50.3,12.9,1155,590,105,390,1160,100,290,380,185,210
5350156.01,49.6,10.7,2230,945,160,1025,2230,160,465,650,465,480
5350156.02,59.1,7.5,1340,665,135,500,1340,130,275,400,250,285
5350157,61,8.8,1300,570,80,600,1300,90,235,380,240,360
5350158,47.9,8.9,1180,535,70,510,1180,95,275,325,185,290
5350159.01,56.2,11,1580,800,150,545,1580,155,380,490,260,300
5350159.02,58,6.7,2220,1075,245,780,2225,145,420,775,370,510
