S_CTUID,YCanCit100,NCanCit100,VM_SASN100,VM_CHIN100,VM_BLCK100,VM_FILI100,VM_LAMR100,VM_ARAB100,VM_SEAS100,VM_WASN100,VM_KORN100,VM_JAPA100
5350161,81038,18890,2814,3102,8369,10534,7720,0,1659,144,433,144
5350346.01,81058,18942,29343,4555,12500,16737,1483,0,636,1483,424,742
5350306.02,81070,18824,6531,45289,1285,1071,2355,2570,964,9636,5032,1071
5350576.59,81083,18841,70229,1069,12214,2595,2366,458,1069,1069,229,0
5350060,81125,18693,8545,13455,2364,1273,1455,0,1455,545,4727,545
5350357.01,81140,18860,56944,1901,8626,5263,1974,365,658,2412,146,439
5350410.09,81174,18927,4555,19939,2126,5061,1316,709,0,4858,9919,0
5350297.01,81202,18868,4330,3352,3701,15363,4050,1606,908,2025,3282,349
5350159.01,81268,18879,13549,1767,8689,5302,7806,442,3682,1620,295,0
5350351.02,81298,18702,16985,4962,7061,23664,1718,3435,382,763,0,382
5350514.02,81385,18615,29437,4156,12294,2424,1126,5887,952,4675,693,606
5350376.04,81444,18656,10732,53561,4915,3611,301,8325,301,201,903,0
5350324.01,81452,18548,7268,44549,9421,673,2288,1346,2961,2557,3096,808
5350288,81461,18539,2266,3122,4431,26133,1913,604,1259,755,906,252
5350136.02,81470,18530,3525,7754,3525,4330,4129,1712,201,4532,4028,806
5350088,81517,18483,4905,14557,3639,1108,2215,1266,791,2215,3797,1424
5350172,81518,18677,3113,1751,33852,7588,7977,584,2724,0,0,0
5350341.04,81575,18425,36181,5193,19849,5863,1424,419,1005,4188,168,419
5350064,81608,18392,9501,7186,4141,2680,2923,1827,1583,2192,2192,974
5350576.58,81627,18315,63700,761,15632,4625,703,468,703,176,0,117
5350250.01,81667,18333,35686,1765,11471,2745,5392,5196,490,3725,196,0
5350123,81678,18102,6843,3974,6623,3091,2428,1325,0,4415,2649,883
5350317.05,81718,18282,5727,4626,3304,33260,1322,1101,1322,1762,1101,441
5350375.04,81733,18267,17691,40410,7821,7356,1117,2328,652,931,186,186
5350374.01,81742,18258,10901,25786,5031,10063,1258,3459,943,2516,1048,943
5350009,81818,21818,5357,3571,16071,0,8929,3571,0,0,0,0
5350311.04,81832,18244,6718,4809,17786,16718,6565,1069,8244,2824,229,0
5350133,81868,18200,1158,2180,4019,14714,3678,545,272,817,1022,341
5350248.05,81885,17993,42228,2081,12729,9792,2570,367,2693,245,0,245
5350516.44,81890,18209,28445,21358,5020,3346,1083,4724,1083,1476,2756,1181
5350097.03,81893,18519,9426,6967,15574,2869,2049,0,4918,1230,1230,1639
5350323.01,81944,17940,4514,20255,2431,2894,1505,1620,579,15046,7407,231
5350306.01,81964,17823,4696,43436,8111,747,747,1281,534,8858,4162,320
5350603,82014,17986,4790,2835,4301,9873,1466,2248,587,391,880,293
5350516.48,82026,17974,43064,11280,3354,5716,305,17759,1372,686,991,534
5350378.11,82036,17879,49572,4709,17723,10445,1712,171,514,685,171,0
5350525.02,82054,17946,17405,2595,4541,4649,1946,1730,1297,973,1622,216
5350528.11,82070,17930,29575,8410,7763,3882,2033,11091,1386,3512,1201,185
5350402.06,82093,17907,2453,10139,2208,5805,3516,818,899,10957,7441,1554
5350262.02,82143,17857,8279,5114,9253,6899,2029,13799,0,4383,649,162
5350403.1,82159,17930,13916,66905,2855,2409,178,1249,803,892,446,0
5350528.42,82222,17778,46759,8981,3611,8889,2778,6204,4815,1759,185,0
5350315.02,82235,17765,39742,1291,15208,1148,2726,3730,4017,3587,0,0
5350039,82268,17612,3981,38963,12183,2774,3136,965,5308,1206,362,724
5350304.05,82302,17526,12715,42955,2405,2405,0,1718,0,4639,2577,344
5350576.55,82318,17682,69300,1204,9857,2784,2032,226,1430,1430,150,0
5350516.49,82350,17595,31054,9377,7832,6288,2758,15444,2041,1213,1710,110
