S_CTUID,690,743,746,857,860,867,870
5350127,3.9,92992,42027,6.9,7.6,6.1,7
5350128.02,4.8,61294,47296,16.4,16.7,14.3,15.1
5350128.04,6.8,59669,45340,18.6,14.5,16.1,13.7
5350128.05,4.1,83200,43136,10.6,11,10.6,10
5350128.06,6.6,47271,38656,24.3,24.1,21.9,22.6
5350129,3.3,78080,43227,10,11.1,9.2,10.6
5350130,1.1,140672,48000,7.3,7.7,6.7,7.4
5350131,2.2,86784,44885,10.6,10.9,10.5,11.6
5350132,3.7,80384,38827,11.2,11.8,10.2,11.5
5350133,7.3,54089,33760,18.7,18.2,15.6,16.2
5350134,2.8,130816,47744,5.2,6,4.3,5.4
5350135,4.8,60288,40016,14,15.2,13,14.7
5350136.01,7.2,48512,38656,22.3,22.1,20.3,20.9
5350136.02,7.4,46891,36992,27.1,22.8,24.5,21.6
5350137,5.1,63712,38298,15.1,13.4,13.4,12.9
5350138,1.6,139392,40704,9.2,10.2,8.5,9.9
5350139.01,2.7,84685,46976,9.7,10.9,8.8,10.2
5350139.02,1.8,128512,43968,6.1,7.4,6.5,7.7
5350140,1.4,206336,60288,4.4,5,4.6,5.6
5350141.01,3.6,115507,47488,6.3,7,5.7,6.6
5350141.02,3,129109,46976,5.3,6.2,4.6,5.8
5350142,2.7,110043,43264,8.2,7.4,7.6,7.6
5350150,3.5,115200,39168,6.8,7,6.9,7.6
5350151,15.8,44489,20544,31.4,27.8,24.2,21.8
5350152,6.9,85163,41003,7.4,7.7,5.8,6.7
5350153,14.5,61408,26944,15.5,15.1,13.5,14.1
5350154,16.3,53687,37397,15.7,14.4,12.7,12.9
5350155,22.2,42624,14448,29.3,26.5,26.4,24.8
5350156.01,26.6,38165,18624,35.4,30.6,27.1,24.1
5350156.02,17,54315,24640,17.1,14.9,12.8,12
5350157,16.6,49707,27072,24.1,22.1,21.1,19.6
5350158,23.8,39936,20747,26.3,19.7,21.6,18.3
5350159.01,16.4,59191,23360,18.1,16.8,14.3,14.5
5350159.02,15.7,60032,27072,13.6,12.7,11.2,11.1
5350160,14.4,62144,27307,13.5,11.8,11.4,10.9
5350161,14.8,57728,27648,14.5,13.9,12.4,12.9
5350162,17.4,55125,25549,17.6,16.3,14.4,14.8
5350163,13,57643,27264,16.3,16.3,14.4,15.4
5350164,11.8,58394,27605,16.1,15.6,14.3,15.3
5350165,7.2,58277,30432,14.4,14.6,13.2,14.1
5350166,3.7,80538,31040,11.5,11.8,10.8,12.2
5350167.01,10.4,48640,38485,17.6,18.9,13.9,17.2
5350167.02,8.6,46391,30869,19.7,19.9,18.2,18.9
5350168,16.6,43321,21069,24.3,19.6,21.6,18.9
5350169.01,13.7,53888,29632,16.5,15.5,14.9,15.3
5350169.02,12.7,52622,26880,18.6,17.6,16,16.3
5350170,16.1,60800,26304,13.9,13.4,12.2,12.5
5350171,23.4,41472,21440,29.6,26.8,22.9,21
