5350357.02,3359,70262
5350358.01,3846,17105
5350358.02,2935,49215
5350358.03,4155,55111
5350359,3038,50093
5350360,3422,16792
5350361.01,1123,6477
5350361.02,662,6314
5350362.01,3725,34300
5350362.02,5076,11385
5350362.03,3650,10870
5350362.04,5601,24859
5350363.02,2830,27928
5350363.04,1849,23721
5350363.05,2570,66087
5350363.06,1445,32331
5350363.07,1236,82338
5350364.01,2890,32405
5350364.02,2200,16410
5350365,3168,25648
5350366,1706,38386
5350367.01,645,63370
5350367.02,2222,15481
5350368.01,1391,37535
5350368.02,2375,28975
5350369,878,41189
5350370.01,2310,48188
5350370.02,2690,26796
5350370.03,1474,33333
5350371,613,25292
5350372,895,12027
5350373,2677,52661
5350374.01,1258,23494
5350374.02,1124,11483
5350374.03,2641,63554
5350375.01,977,59132
5350375.02,1467,27857
5350375.03,1724,60054
5350375.04,1676,20181
5350375.05,865,46694
5350376.01,399,30547
5350376.02,569,41745
5350376.04,702,30168
5350376.05,292,10500
5350376.06,0,14286
5350376.08,1570,10773
5350376.09,733,15789
5350376.11,292,50239
5350376.12,1320,11022
5350376.13,515,10469
5350376.14,397,10680
5350376.15,271,11667
5350376.16,782,81651
5350377.01,773,29903
5350377.02,1273,12274
5350377.03,1248,14689
5350377.04,1514,9581
5350377.06,0,9278
5350377.07,860,11858
5350378.02,1231,38462
5350378.03,3261,23203
5350378.04,3083,28249
5350378.05,4615,38683
5350378.06,3802,31343
5350378.07,1607,29176
5350378.08,709,23155
5350378.11,2740,22124
5350378.12,3472,47107
5350378.14,507,45494
5350378.16,6540,21094
5350378.17,6932,35714
5350378.18,0,23364
5350378.19,1135,7692
5350378.2,0,16026
5350378.21,498,5213
5350378.22,888,5172
5350378.23,373,13027
5350378.24,694,12911
5350378.25,1466,8579
5350378.26,1860,7018
5350378.27,777,16667
5350378.28,5870,19481
5350400.02,429,4533
5350400.03,1314,6878
5350400.04,0,25170
5350400.06,1505,6311
5350400.07,912,6751
5350400.08,1789,45000
5350400.11,2796,10863
5350400.12,1670,10291
5350400.13,1422,17879
5350400.14,654,14706
5350400.15,0,4459
5350400.16,1206,1730
5350400.17,1274,19247
5350400.18,2222,34307
5350400.19,1041,12850
5350400.2,1833,5858
5350400.21,0,8264
5350400.22,2027,7128
5350400.23,2922,7692
5350401.04,622,11399
5350401.05,423,34156
5350401.06,0,5333
5350401.07,0,12996
5350401.08,307,4348
5350401.09,358,13711
5350401.1,213,5068
5350401.11,1313,12045
5350401.13,1015,13842
5350401.14,960,4425
5350401.15,0,11304
5350401.17,282,7813
5350401.18,814,45785
5350401.19,507,11421
5350401.2,2055,11111
5350401.21,1003,17007
5350401.22,182,12727
5350401.23,2145,4587
5350402.01,0,18824
5350402.02,280,46575
5350402.03,0,13278
5350402.04,196,7438
5350402.05,0,2857
5350402.06,327,44351
5350402.07,496,12583
5350402.08,242,11209
5350402.09,660,33904
5350402.1,1091,13879
5350402.12,334,25818
5350402.13,504,2532
5350403.01,132,13921
5350403.04,229,2834
5350403.05,356,6226
5350403.07,792,6770
5350403.09,399,4286
5350403.1,357,11455
5350403.11,706,5146
5350403.12,1212,3854
5350403.13,2163,7223
5350403.14,1696,11053
5350403.15,380,9413
5350403.16,374,22180
5350410.02,457,8451
5350410.03,209,12653
5350410.04,386,16867
5350410.05,321,3743
5350410.07,955,6635
5350410.09,0,17986
5350410.1,0,10836
5350410.11,0,27876
5350410.12,0,33476
5350410.13,290,2538
5350410.14,1082,6011
5350410.15,1535,33077
5350411.01,1427,16120
5350411.04,1431,10674
5350411.07,228,6742
5350411.08,0,25767
5350411.09,711,7278
5350411.12,1072,4487
5350411.15,240,6273
5350411.16,1291,7967
5350411.17,874,2392
5350411.18,1168,8795
5350411.19,0,12000
5350411.21,581,6618
5350411.22,836,10476
5350411.23,1319,20782
5350411.24,1011,19274
5350411.25,1173,7692
5350411.26,1397,3947
5350411.27,1311,5702
5350411.28,194,6757
5350411.29,365,12621
5350411.3,480,8675
5350412.01,1040,16258
5350412.02,524,18006
5350412.04,577,4693
5350412.06,0,7819
5350412.08,965,12707
5350412.1,424,6838
5350412.11,526,6391
5350412.12,1004,11923
5350412.13,732,4089
5350412.14,0,1478
5350412.15,560,6906
5350412.18,396,2921
5350412.19,1465,6273
5350412.2,347,5015
5350412.21,0,0
5350412.22,568,7741
5350412.24,1792,5507
5350412.25,999,5316
5350412.26,1836,4464
5350413.01,1070,8703
5350413.02,1095,6414
5350420.03,385,48421
5350420.05,779,29244
5350420.06,0,3571
5350420.08,831,31552
5350420.09,865,37653
5350420.1,0,3646
5350420.11,0,4971
5350420.13,277,22093
5350420.14,841,22222
5350420.15,0,3846
5350421.01,367,12910
5350421.04,266,27607
5350421.05,0,6466
5350421.06,0,12950
5350421.07,358,7143
5350422.02,373,43720
5350422.03,496,6083
5350422.04,740,5217
5350422.05,564,6234
5350422.06,578,47511
5350423.01,0,18631
5350423.02,715,22264
5350424.04,0,5714
5350424.05,452,25132
5350424.07,536,5894
5350424.08,135,5140
5350424.09,563,14286
5350424.1,153,2887
5350424.11,372,12671
5350424.13,0,16993
5350424.14,227,5890
5350424.15,205,8246
5350424.16,228,7787
5350430.03,291,10364
5350430.05,274,7221
5350430.06,1496,7360
5350430.07,1131,17318
5350430.08,1664,18252
5350431.01,559,6375
5350431.02,469,12212
5350440,1303,16032
5350441.02,697,44875
5350441.03,345,16032
5350441.04,178,6866
5350442.02,635,28349
5350442.03,189,5357
5350442.04,413,19030
5350442.05,622,8846
5350442.06,521,8875
5350450.02,0,35685
5350450.03,627,15609
5350450.05,581,13366
5350450.06,324,10491
5350451.01,467,38462
5350451.02,420,40807
5350451.03,1076,14344
5350451.05,0,18395
5350451.06,151,10513
5350451.07,305,7692
5350452.01,318,30081
5350452.02,204,46174
5350452.03,183,25653
5350452.05,840,12268
5350452.06,1074,12879
5350452.07,0,7803
5350455,436,10036
5350456.01,229,9000
5350456.02,850,14196
5350456.03,251,7168
5350460.01,552,12236
5350460.02,0,17073
5350461.01,524,9593
5350461.02,440,12743
5350470,0,5023
5350471,0,12917
5350472,269,14607
5350473.01,0,18907
5350473.02,143,22754
5350473.03,272,18728
5350474,272,10329
5350475,229,18450
5350476.01,0,8696
5350476.02,0,12707
5350480.01,486,42560
5350480.02,1293,11756
5350481.01,827,9684
5350481.02,241,25786
5350482,1146,9671
5350483.01,207,15730
5350483.02,0,6723
5350484.02,254,10118
5350484.03,377,6477
5350484.04,1136,11290
5350485.01,185,18505
5350485.02,0,31579
5350500.01,596,70186
5350500.02,821,44622
5350501.01,876,21022
5350501.02,880,8805
5350502.01,819,24812
5350502.02,429,24725
5350503,997,41823
5350504,0,20816
5350505.01,0,2422
5350505.02,0,2535
5350506,0,4819
5350507,266,10728
5350508,1122,11111
5350509.01,392,8794
5350509.02,972,6911
5350510,181,8250
5350511.01,1625,89922
5350511.02,1241,38764
5350512,623,58391
5350513.01,359,12653
5350513.02,1508,54601
5350513.03,1288,67556
5350513.04,928,13386
5350514.01,0,3947
5350514.02,606,48753
5350515.01,1910,15961
5350515.02,1329,32090
5350516.01,735,8889
5350516.02,418,6090
5350516.03,963,17312
5350516.04,721,78571
5350516.05,650,20327
5350516.06,1435,29240
5350516.08,1340,51716
5350516.09,1286,13894
5350516.11,1104,2759
5350516.16,780,20804
5350516.17,1293,19697
5350516.18,560,10744
5350516.2,1120,3209
5350516.21,509,4494
5350516.22,1796,4337
5350516.23,1696,6502
5350516.24,1126,4132
5350516.25,1394,22000
5350516.26,962,19202
5350516.28,511,10274
5350516.29,1045,32313
5350516.3,0,6845
5350516.31,0,5714
