S_CTUID,Membership
5350378.07,9
5350378.08,9
5350378.11,8
5350378.12,7
5350378.14,9
5350378.16,8
5350378.17,7
5350378.18,9
5350378.19,9
5350378.2,9
5350378.21,9
5350378.22,9
5350378.23,9
5350378.24,9
5350378.25,8
5350378.26,8
5350378.27,8
5350378.28,8
5350400.02,5
5350400.03,3
5350400.04,5
5350400.06,5
5350400.07,5
5350400.08,5
5350400.11,8
5350400.12,9
5350400.13,8
5350400.14,9
5350400.15,5
5350400.16,3
5350400.17,8
5350400.18,9
5350400.19,3
5350400.2,9
5350400.21,9
5350400.22,8
5350400.23,8
5350401.04,9
5350401.05,9
5350401.06,9
5350401.07,3
5350401.08,3
5350401.09,9
5350401.1,9
5350401.11,9
5350401.13,9
5350401.14,9
5350401.15,1
5350401.17,9
5350401.18,9
5350401.19,9
5350401.2,9
5350401.21,9
5350401.22,9
5350401.23,9
5350402.01,3
5350402.02,6
5350402.03,6
5350402.04,3
5350402.05,3
5350402.06,6
5350402.07,3
5350402.08,6
5350402.09,6
5350402.1,3
5350402.12,6
5350402.13,3
5350403.01,9
5350403.04,9
5350403.05,3
5350403.07,9
5350403.09,9
5350403.1,9
5350403.11,9
5350403.12,3
5350403.13,3
5350403.14,9
5350403.15,9
5350403.16,9
5350410.02,9
5350410.03,3
5350410.04,3
5350410.05,3
5350410.07,3
5350410.09,6
5350410.1,6
5350410.11,3
5350410.12,6
5350410.13,3
5350410.14,3
5350410.15,1
5350411.01,1
5350411.04,1
5350411.07,1
5350411.08,1
5350411.09,3
5350411.12,1
5350411.15,1
5350411.16,3
5350411.17,3
5350411.18,3
5350411.19,3
5350411.21,8
5350411.22,1
5350411.23,1
5350411.24,8
5350411.25,1
5350411.26,3
5350411.27,1
5350411.28,3
5350411.29,3
5350411.3,3
5350412.01,1
5350412.02,1
5350412.04,1
5350412.06,1
5350412.08,1
5350412.1,1
5350412.11,1
5350412.12,1
5350412.13,1
5350412.14,3
5350412.15,1
5350412.18,3
5350412.19,3
5350412.2,1
5350412.21,0
5350412.22,3
5350412.24,3
5350412.25,3
5350412.26,3
5350413.01,3
5350413.02,3
5350420.03,6
5350420.05,6
5350420.06,9
5350420.08,6
5350420.09,6
5350420.1,9
5350420.11,9
5350420.13,6
5350420.14,6
5350420.15,6
5350421.01,3
5350421.04,6
5350421.05,3
5350421.06,6
5350421.07,3
5350422.02,6
5350422.03,3
5350422.04,9
5350422.05,9
5350422.06,6
5350423.01,5
5350423.02,3
5350424.04,9
5350424.05,6
5350424.07,3
5350424.08,3
5350424.09,3
5350424.1,3
5350424.11,3
5350424.13,3
5350424.14,3
5350424.15,3
5350424.16,3
