S_CTUID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
5350029,6987,6495,10443,8369,13376,56295,11516,2.3,49791,173032,19800,49481,60000,30667,10667,91.3,82.8,8.8,61056,27648,22.5,20.2,73191,10192,6130,26145,5022,2290,665,812,4357,886,739,1625,443,48671,57288,42712,0,67291,32709,15176,18118,17412,29765,10588,1882,54941,11765,63.2,5.7,32317,39939,20884,47104,41616,11433,2882,18625,36142,7095,10495,2217,7834,8500,2809,2882,443,739,1848,3104,5174,37029,443
5350030,4529,3831,8057,10044,25386,50552,6291,2,40755,260185,15924,40000,57692,23077,19231,92,84.2,8.1,51088,39808,31.3,26.8,71171,13626,17230,11599,15315,1689,2703,3266,1351,2027,1464,225,676,40878,39414,60811,0,57143,42857,9315,19508,15993,33743,11951,1054,57645,13533,64.2,8.7,26517,43371,26067,50224,38117,11659,1464,17342,22973,7432,7095,2365,7207,9347,5631,4842,3378,2027,5518,6194,17342,17568,563
5350031,6274,6176,10916,13944,17371,50677,7092,2.3,39846,261111,21440,62371,52174,27174,20652,76.6,71.3,23.4,33728,17768,50,41.3,68404,11387,32157,13392,12590,3689,2646,1684,5293,1363,160,321,1283,22294,14077,85923,0,63254,36746,21968,22911,14690,21698,8760,1482,35175,20081,51,10.5,21557,51098,23952,43227,42430,14143,2807,10906,13312,3128,3849,722,4170,5213,4090,3208,1283,1363,6496,3528,32237,25100,0
5350032,5363,5264,5131,5131,17631,58396,13806,1.6,25451,509843,18708,31250,59459,32432,10811,86.7,76.2,13.3,24787,17387,46.2,43.6,76796,15783,7774,6832,14488,2709,2356,2356,1885,1178,471,824,1296,55359,14711,85289,0,53545,46642,12803,22664,15917,26125,10900,2076,47578,17128,56.8,8.5,14528,36562,45763,53753,34383,12107,2945,18021,32627,9541,9776,2238,11190,9069,6714,4005,1531,1885,4240,4240,9423,13781,353
5350033,5042,4979,7235,6343,19227,57284,9911,1.7,26961,468852,20455,34862,61667,23333,15000,80.5,71.7,19.5,21941,13952,53.7,49.7,74194,12347,8333,5556,27000,1889,2556,1222,3222,1667,889,0,1444,45000,13011,86803,0,59032,40968,15937,26620,18214,21191,7881,1051,41259,16259,48.3,14.1,20571,34857,40857,58120,32194,9687,3782,15795,24249,5895,6897,1446,6785,8009,5228,4338,2892,334,16908,4116,7898,12681,0
5350034.01,4554,4504,3732,8342,37541,42042,8233,1.8,33947,368814,7491,29104,75000,25000,0,95.8,81.8,4.2,52261,39851,28.3,29.8,73576,21455,12848,22424,4242,1333,2061,3152,1455,2182,2303,364,727,44727,41453,58547,0,51717,48069,2627,11632,11257,38649,19137,4690,60300,25468,66.4,9.9,15598,36752,45513,65385,26068,8120,1333,12121,25697,5818,7394,2182,9818,9212,2667,3394,1455,1212,1091,7030,14182,29697,970
5350034.02,5147,5207,3984,5151,28183,55102,7677,1.6,34156,351807,14063,24204,65789,26316,7895,93.7,84.1,6.3,47598,35507,29.7,29.3,79816,13422,6051,9846,10051,3282,2667,3487,718,923,2256,615,821,56308,33223,66777,0,52152,47848,4526,14307,16788,36058,14307,2190,63304,17982,66.5,8.2,16878,27768,52269,60436,29946,9074,2357,15266,31045,6045,9631,2152,11988,11373,4816,3893,3279,2049,2664,6045,6865,19160,410
5350035,9876,7262,6329,5823,41519,41165,5266,1.7,36681,326935,7938,35082,72464,21739,4348,95.8,82,4.2,43472,33792,38.4,37.5,60488,34738,10259,32250,2692,1524,1625,8278,1371,2285,5739,1879,863,30066,32867,67133,0,42743,57257,2345,8543,7789,36935,19514,6030,59414,29791,58.9,8.5,13725,23013,60784,72343,20949,6811,1219,8024,15947,4012,6298,1067,7872,7161,2133,2590,609,863,914,12138,10970,43525,203
5350036,5487,4915,4193,4284,31176,47037,13309,1.7,35934,318767,14006,28409,74286,22857,2857,92.6,81.1,7.4,44459,30368,30.7,29.4,78857,14882,4174,31125,2450,3176,726,2904,2269,1270,3902,1724,907,43466,30275,69725,0,52462,47692,5070,13944,13099,37746,14507,3662,62676,18310,63.7,5.7,13458,23850,60307,69165,22147,8688,1724,11978,24864,7078,8802,2541,11162,8348,3176,1543,272,454,1724,4083,4265,44102,544
5350037,4494,4873,4783,5895,37597,36707,15017,2,28147,468776,10231,42593,72727,18182,9091,89.8,69,10.2,38613,22549,34.7,40.1,72235,22118,6824,34000,2941,2235,1882,1765,3412,1176,1765,941,588,41176,24057,75943,0,46099,53901,6087,13696,15435,35435,13696,5870,59783,20652,57.3,11,8413,26923,60577,68106,25180,6715,824,14118,26353,5176,8706,2941,9765,7412,2000,2588,471,1176,1412,3412,6706,43294,235
